T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-29.9000000000,0.0003207842,0.0003376676,0.0003545510,0.0003432000,0.0003301146
-29.8000000000,0.0003206394,0.0003375152,0.0003543910,0.0003430486,0.0003299625
-29.7000000000,0.0003204947,0.0003373628,0.0003542309,0.0003428971,0.0003298105
-29.6000000000,0.0003203499,0.0003372104,0.0003540709,0.0003427456,0.0003296584
-29.5000000000,0.0003202051,0.0003370580,0.0003539109,0.0003425942,0.0003295063
-29.4000000000,0.0003200603,0.0003369056,0.0003537509,0.0003424427,0.0003293542
-29.3000000000,0.0003199155,0.0003367532,0.0003535909,0.0003422912,0.0003292022
-29.2000000000,0.0003197708,0.0003366008,0.0003534308,0.0003421398,0.0003290501
-29.1000000000,0.0003196260,0.0003364484,0.0003532708,0.0003419883,0.0003288980
-29.0000000000,0.0003194812,0.0003362960,0.0003531108,0.0003418368,0.0003287459
-28.9000000000,0.0003193364,0.0003361436,0.0003529508,0.0003416853,0.0003285938
-28.8000000000,0.0003191916,0.0003359912,0.0003527908,0.0003415339,0.0003284417
-28.7000000000,0.0003190469,0.0003358388,0.0003526307,0.0003413824,0.0003282896
-28.6000000000,0.0003189021,0.0003356864,0.0003524707,0.0003412309,0.0003281375
-28.5000000000,0.0003187573,0.0003355340,0.0003523107,0.0003410794,0.0003279854
-28.4000000000,0.0003186125,0.0003353816,0.0003521507,0.0003409279,0.0003278333
